path,bytes,sha256
results/figure_metadata.json,526,2899028639ffb5f0505ad5d424211a948c285b73bff2423bf328be752e4f2b99
results/numerical_diagnostics.json,597,82ce807ce6085fed9fcc08611c08b6098458850552a58c507b120b7ca3b356f7
results/source_snapshot.json,4513,39ef1a0a04fb8d40bf9b7e5463b06d8849abefac33df3d68dd3777da3e5e3c43
results/verification_results.json,3445,a3be062720512736eb9f4644461a8b4a68b787d33a73b874ed30d46a525d52ed
seam_ledger.csv,14924,0069e8bc6d974c333257f2330cf214fa78e8ab702a7541ed2ea483dd9a7ada2f
source_and_notation_ledger.md,7623,dcdda69e2cfe83e47d0866c8aa56814db5fe907a262187582bc6cd8967bfa52b
source_ledger.csv,9859,8cc968c9aafc5c77bb34dee18555f04a95c4831f1e9e837414894f4714d8f7ec
successor_acceptance_tests.yaml,17513,addf58f79b0803b1b01c1425c9080de91d1e7293ea6e59f5eb1a90ad8e6ce6ef
tables/seam_equation_index.tex,8103,3bf6830e7f2892074b31e9a482db4c8dc43e7cb5cc459ceebe150dc474a3fd0e
tables/seam_summary_table.tex,7189,1247fc8051a4079667c2fa349f410811bb5e5fdbf0fe1c9e2e6c61428c244c18
tables/successor_gates_table.tex,5129,890093fc2a3084b78b2135b45550996a7d950f4572c6adba7b955834fa906647
tables/verified_domains_table.tex,4125,d448e983dff9f54280040f15e7947ae7e8f835a31c57f9520962926f66ae45ff
terminal_verdict.md,1815,d32ab6ce93a6bf0c923d96691e7ce47c699089ad46a5bf60edf186886f1afd94
tests/test_frontier_model.py,1917,873dc7ee6f9a07b24839f81211219ec0de795d6ca33f405cf83ddcf44ed20218
verified_domains.csv,5291,716edfe7be0897ecedab6a58268f677bc24f2d3b85db2591294c9efe6830f4ba
