"Category","Primary source","Year","Identifier","Closest established result","Overlap with crossed-null programme","What remains distinct","Priority impact"
"Self-gravitating media","Celoria, Comelli & Pilo, Fluids, Superfluids and Supersolids","2017","arXiv:1704.00322","Derivatively coupled scalars describe fluids, superfluids, solids and supersolids with calculable perturbations.","A repaired crossed-phase theory is naturally a special self-gravitating medium.","Specific crossed-null background, mediator sign and sum rules.","Dynamical species is not wholly new; position it as a constrained medium EFT."
"Two-component superfluids","Haber, Schmitt & Stetina, Instabilities in relativistic two-component (super)fluids","2015","arXiv:1510.01982","The general zero-temperature two-superfluid generalized pressure is an arbitrary function of p1^2, p2^2 and p1·p2; a microscopic two-complex-scalar model includes entrainment and non-entrainment couplings and derives angular sound modes.","The repaired soft-null Lagrangian is a polynomial special case of this established master-function class, evaluated on a crossed-null state.","The particular crossed-null background, one-mediator matching and the two minimal tree-level consistency relations.","The EFT class and operator architecture are established; only the restricted state and sum rules remain candidate distinctions."
"Relativistic two-stream stability","Samuelsson et al., Relativistic Two-stream Instability","2009","arXiv:0906.4002","Frame-independent causality and stability conditions for interpenetrating relativistic two-fluid systems.","Covers generic relative-flow stability and entrainment.","Specific minimal operator yields sharper analytic sum rules.","Generic stability concept is established."
"Clock fixes conformal gauge","Fatibene, Garruto & Polistina, Breaking the Conformal Gauge by Fixing Time Protocols","2014","arXiv:1410.1284","A congruence of standard clocks selects a representative of a conformal class in EPS/Weyl geometry.","Directly precedes the claim that clock behaviour fixes Weyl scale.","Attempts to derive the clock protocol from phase dynamics.","Conformal gauge-fixing by clocks is established."
"Proper time in Weyl geometry","Avalos, Dahia & Romero, A note on the problem of proper time in Weyl space-time","2016","arXiv:1611.10198","Defines proper time in Weyl space and connects absence of the second-clock effect to integrable Weyl geometry.","Relevant to universality and path dependence of emergent clocks.","Specific phase medium and spectral universality criterion.","Any gravity claim must confront second-clock-effect constraints."
"Thermal time","Connes & Rovelli, Von Neumann algebra automorphisms and time-thermodynamics relation","1994","arXiv:gr-qc/9406019","The physical time flow can be selected by the thermodynamic state rather than by universal external time.","Precedent for state-selected time.","Local phase-gradient clock metric and propagating modes.","Philosophical emergence claim is not novel."
"Causal reconstruction","Braun, Spacetime reconstruction by order and number","2025","arXiv:2507.01907","Chronological order fixes conformal geometry; order plus volume/number reconstructs the metric under stated conditions.","Supports the split between causal order and missing scale.","Proposes a field-generated local scale rather than event number.","Foundational premise is established."
"EPS constructive geometry","Linnemann & Read, Constructive axiomatics in spacetime physics","2021","arXiv:2112.14063","Reviews and sharpens reconstruction of conformal/projective spacetime structures from light and free fall.","Same programme of treating light propagation and clocks/rulers operationally.","Specific crossed-phase dynamical mechanism.","Broad foundational framing is established."
"Positivity / UV causality","Adams et al., Causality Analyticity and an IR Obstruction to UV Completion","2006","arXiv:hep-th/0602178","Leading derivative operators need the positivity-compatible sign for a standard analytic local UV completion; wrong signs generate superluminal backgrounds.","Selects the positive C-lock sign used in the repaired EFT.","Exact two-phase mediator and anisotropic sum rules.","Sign choice is established EFT logic, not new."
"Dimensional transmutation","Einhorn & Jones, Naturalness and Dimensional Transmutation in Classically Scale-Invariant Gravity","2014","arXiv:1410.8513","Quantum running in classically scale-invariant theories can generate vacuum and Planck scales.","Provides a mechanism for a clock scale not inserted as a classical mass.","Coupling that generated scale to the crossed-phase state.","Scale generation is established; only the lock architecture may be new."
"QCD scale generation","Ji, Scale symmetry breaking quantum anomalous energy and proton mass decomposition","2021","arXiv:2105.03974","Explains QCD dimensional transmutation and the trace anomaly as sources of a dynamical mass scale.","A real 3+1D proof that massless UV fields can generate massive spectral standards.","No null-phase chronometry sector.","Supports feasibility but does not complete the model."
"No exact combined match","Targeted exact-phrase and concept-combination search across arXiv and INSPIRE","2026","Search audit v0.2","No primary source was located in the targeted indexed search that combines the crossed-null background, explicit transverse-degeneracy diagnosis, minimal soft-null polynomial, one-scalar mediator and both derived consistency relations.","This is the narrow conjunction retained after eliminating broader novelty claims.","Absence of an indexed exact hit is not proof of priority; non-arXiv databases, terminology variants, citation chasing and specialist review remain necessary.","Candidate contribution only; do not state definitive or legal priority."
