version,historical_filename,availability_in_this_archive,recovery_note
v0.3,spectral_chronometry_research_package_v0_3.zip,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.4,universal_scale_locking_turok36_v0_4.pdf,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.4,universal_scale_locking_turok36_v0_4.tex,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.4,universal_scale_locking_notes_v0_4.md,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.4,universal_scale_locking_acceptance_matrix_v0_4.csv,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.4,verify_universal_scale_locking_v0_4.py,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.4,universal_scale_locking_verification_v0_4.json,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.4,universal_scale_locking_research_package_v0_4.zip,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.5,qcd_chronometric_lock_v0_5.pdf,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.5,qcd_chronometric_lock_v0_5.tex,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.5,qcd_chronometric_lock_v0_5.md,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.5,qcd_chronometric_claim_matrix_v0_5.csv,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.5,verify_qcd_chronometric_lock_v0_5.py,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.5,qcd_chronometric_lock_verification_v0_5.json,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.5,qcd_chronometric_lock_research_package_v0_5.zip,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.6,zn_protected_qcd_chronometry_v0_6.pdf,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.6,zn_protected_qcd_chronometry_v0_6.tex,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.6,zn_protected_qcd_chronometry_v0_6.md,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.6,zn_protected_qcd_claim_matrix_v0_6.csv,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.6,verify_zn_protected_qcd_chronometry_v0_6.py,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.6,zn_protected_qcd_chronometry_verification_v0_6.json,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.6,zn_protected_mass_scaling_v0_6.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.6,zn_protected_qcd_chronometry_research_package_v0_6.zip,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.7,environmental_non_screening_v0_7.pdf,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.7,environmental_non_screening_v0_7.tex,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.7,environmental_non_screening_v0_7.md,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.7,verify_environmental_screening_v0_7.py,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.7,environmental_screening_verification_v0_7.json,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.7,environmental_screening_benchmarks_v0_7.csv,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.7,environmental_screening_acceptance_matrix_v0_7.csv,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.7,environmental_effective_potential_v0_7.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.7,environmental_profiles_v0_7.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.7,environmental_screening_map_v0_7.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.7,environmental_non_screening_research_package_v0_7.zip,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.8,cosmological_vacuum_selection_v0_8.pdf,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.8,cosmological_vacuum_selection_v0_8.tex,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.8,cosmological_vacuum_selection_v0_8.md,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.8,verify_cosmological_vacuum_selection_v0_8.py,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.8,cosmological_parameter_scan_v0_8.csv,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.8,cosmological_vacuum_selection_results_v0_8.json,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.8,cosmological_vacuum_trajectory_v0_8.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.8,cosmological_force_hierarchy_v0_8.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.8,cosmological_vacuum_basin_v0_8.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.8,cosmological_parameter_ridge_v0_8.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.8,cosmological_vacuum_selection_research_package_v0_8.zip,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.9,state_selected_reheating_v0_9.pdf,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.9,state_selected_reheating_v0_9.tex,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.9,state_selected_reheating_v0_9.md,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.9,verify_state_selected_reheating_v0_9.py,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.9,state_selected_reheating_results_v0_9.json,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.9,state_selected_reheating_benchmark_v0_9.csv,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.9,state_selected_reheating_acceptance_matrix_v0_9.csv,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.9,state_selected_reheating_claim_matrix_v0_9.csv,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.9,state_selected_sector_temperatures_v0_9.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.9,state_selected_perturbation_spectra_v0_9.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.9,state_selected_chronometric_transfer_v0_9.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v0.9,state_selected_reheating_research_package_v0_9.zip,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.0,state_asymmetry_in_in_v1_0.pdf,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.0,state_asymmetry_in_in_v1_0.tex,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.0,state_asymmetry_in_in_v1_0.md,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.0,verify_in_in_radiative_escape_v1_0.py,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.0,in_in_radiative_escape_results_v1_0.json,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.0,in_in_radiative_escape_benchmark_v1_0.csv,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.0,in_in_radiative_escape_claim_matrix_v1_0.csv,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.0,in_in_two_loop_topology_v1_0.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.0,in_in_selector_state_separation_v1_0.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.0,in_in_state_harmonic_decay_v1_0.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.0,in_in_vacuum_harmonics_v1_0.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.0,in_in_memory_kernel_v1_0.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.0,state_asymmetry_in_in_research_package_v1_0.zip,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.1,selector_threshold_kadanoff_baym_v1_1.pdf,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.1,selector_threshold_kadanoff_baym_v1_1.tex,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.1,selector_threshold_kadanoff_baym_v1_1.md,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.1,verify_selector_threshold_kb_v1_1.py,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.1,selector_threshold_kb_results_v1_1.json,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.1,selector_threshold_kb_acceptance_matrix_v1_1.csv,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.1,selector_threshold_kb_arrays_v1_1.npz,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.1,mixed_selector_threshold_topology_v1_1.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.1,kb_two_time_propagators_v1_1.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.1,preheating_portal_risk_v1_1.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.1,wilson_line_z6_completion_v1_1.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.1,selector_threshold_kb_uv_research_package_v1_1.zip,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.2,exact_matching_nonlinear_cascade_v1_2.pdf,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.2,exact_matching_nonlinear_cascade_v1_2.tex,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.2,exact_matching_nonlinear_cascade_v1_2.md,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.2,verify_exact_matching_cascade_v1_2.py,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.2,exact_matching_nonlinear_cascade_results_v1_2.json,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.2,exact_matching_nonlinear_cascade_acceptance_matrix_v1_2.csv,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.2,exact_three_loop_matching_v1_2.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.2,nonlinear_cascade_energy_flow_v1_2.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.2,cascade_temperature_ratio_v1_2.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.2,cascade_final_spectra_v1_2.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.2,cascade_species_partition_v1_2.png,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.2,exact_matching_nonlinear_cascade_research_package_v1_2.zip,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.3,rg_improved_explicit_collision_v1_3.pdf,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.3,rg_improved_explicit_collision_v1_3.tex,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.3,rg_improved_explicit_collision_v1_3.md,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.3,verify_rg_improved_explicit_collision_v1_3.py,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.3,rg_improved_collision_results_v1_3.json,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.3,rg_improved_collision_acceptance_matrix_v1_3.csv,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.3,rg_improved_collision_arrays_v1_3.npz,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.3,rg_improved_explicit_collision_research_package_v1_3.zip,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.4,direct_amy_transport_v1_4.pdf,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.4,direct_amy_transport_v1_4.tex,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.4,direct_amy_transport_v1_4.md,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.4,verify_full_amy_collision_v1_4.py,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.4,direct_amy_transport_results_v1_4.json,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.4,direct_amy_collision_table_v1_4.csv,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.4,direct_amy_transport_acceptance_matrix_v1_4.csv,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.4,direct_amy_transport_arrays_v1_4.npz,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
v1.4,direct_amy_transport_research_package_v1_4.zip,inventory_only,Named in the original staged chat; not copied from ephemeral historical sandbox storage.
