key,authors,title,year,identifier,role_in_project,metadata_provenance
Craig2016,Nathaniel Craig; Seth Koren; Timothy Trott,Cosmological Signals of a Mirror Twin Higgs,2016,arXiv:1611.07977,Asymmetric reheating with exact exchange symmetry,arXiv metadata verified during consolidation
Inflation2025,L. Balkenhol et al.,Inflation at the End of 2025: Constraints on r and n_s Using the Latest CMB and BAO Data,2025,arXiv:2512.10613,Inflation benchmark,arXiv metadata verified during consolidation
Isocurvature2026,Georgios K. Karananas; Mikhail Shaposhnikov,A scaling non-compact QCD axion,2026,arXiv:2606.17019,Attractor erasure of axion isocurvature,arXiv metadata verified during consolidation
LazaridesShafi1982,G. Lazarides; Q. Shafi,Axion models with no domain wall problem,1982,"Phys. Lett. B 115, 21",Domain-wall avoidance,project bibliography
CollinsHolman2005,H. Collins; R. Holman,Renormalization of initial conditions and the trans-Planckian problem of inflation,2005,arXiv:hep-th/0501158,Initial-surface renormalisation,project bibliography
CTP2007,U. Reinosa; J. Serreau,Ward Identities for the 2PI effective action in QED,2007,arXiv:0708.0971,Symmetry-preserving 2PI Ward identities,arXiv metadata verified during consolidation
ThermalPressure2021,Jean-Loïc Kneur; Marcus Benghi Pinto; Tulio E. Restrepo,Renormalization group improved pressure for hot and dense quark matter,2021,arXiv:2101.08240,RG-improved hot/dense quark-matter pressure; working-note shorthand narrowed during consolidation,arXiv metadata verified during consolidation
Berges2005,J. Berges; S. Borsanyi; U. Reinosa; J. Serreau,Nonperturbative renormalization for 2PI effective action techniques,2005,arXiv:hep-ph/0503240,2PI renormalisation,project bibliography
Tranberg2024,A. Tranberg; G. Ungersbaeck,Four results on out-of-equilibrium 2PI simulations in 3+1 dimensions,2024,arXiv:2409.06398,Two-time numerical benchmark,project bibliography
Lindner2007,M. Lindner; M. M. Muller,Comparison of Boltzmann kinetics with quantum dynamics for a chiral Yukawa model far from equilibrium,2007,arXiv:0710.2917,KB/Yukawa precedent,project bibliography
Bhattacharya2022,S. Bhattacharya; N. Joshi; S. Kaushal,Decoherence and entropy generation in an open quantum scalar-fermion system with Yukawa interaction,2022,arXiv:2206.15045,Open-system KB precedent,project bibliography
Garny2009,M. Garny; M. M. Muller,Kadanoff-Baym equations with non-Gaussian initial conditions: the equilibrium limit,2009,arXiv:0904.3600,Initial correlations,project bibliography
Dufaux2006,J. F. Dufaux; G. N. Felder; L. Kofman; M. Peloso; D. Podolsky,Preheating with Trilinear Interactions: Tachyonic Resonance,2006,arXiv:hep-ph/0602144,Failure of bosonic portal,arXiv metadata verified during consolidation
GreeneKofman1998,P. B. Greene; L. Kofman,Preheating of Fermions,1998,arXiv:hep-ph/9807339,Fermionic repair,project bibliography
Byakti2017,P. Byakti; D. Ghosh; T. Sharma,Note on gauge and gravitational anomalies of discrete Z_N symmetries,2017,arXiv:1707.03837,Discrete anomaly checks,project bibliography
Martin2001,S. P. Martin,Two-loop effective potential for a general renormalizable theory and softly broken supersymmetry,2001,arXiv:hep-ph/0111209,Factorised FFS matching,project bibliography
MartinRobertson2016,S. P. Martin; D. G. Robertson,Evaluation of the general 3-loop vacuum Feynman integral,2016,arXiv:1610.07720,Three-loop integral context,project bibliography
AMY2002,P. Arnold; G. D. Moore; L. G. Yaffe,Effective kinetic theory for high temperature gauge theories,2002,arXiv:hep-ph/0209353,Leading-order gauge-plasma kinetic theory,project bibliography
Boedeker2019,D. Boedeker; D. Schroeder,Equilibration of right-handed electrons,2019,arXiv:1902.07220,SM LPM and 2-to-2 rates,project bibliography
Adhikary2024,A. Adhikary; M. Olechowski; J. Rosiek; M. Ryczkowski,Theoretical constraints on models with vector-like fermions,2024,arXiv:2406.16050,RGE and vacuum-stability context,project bibliography
Nishiyama2010,A. Nishiyama,Entropy production in gluodynamics in temporal axial gauge in the Kadanoff-Baym approach,2010,arXiv:1011.4750,Non-Abelian KB precedent,project bibliography
AMYScalar2026,Yoshihiko Abe; Kanji Nishii,Bottom-up open EFT for non-Abelian gauge theory with dynamical color environment,2026,arXiv:2605.22822,"Source-role mismatch: retained for audit and future open-EFT direction, not as support for H <-> qD LPM normalisation",web-verified; working-note identifier/title mismatch flagged
LPMNumerics2022,Aleksi Kurkela; Robin Törnkvist; Korinna Zapp,AMY Lorentz invariant parton cascade -- the thermal equilibrium case,2022,arXiv:2211.15454,AMY Lorentz-invariant cascade and equilibrium validation; not a direct transverse-integral-equation source,web-verified; working-note role narrowed
AMY2003b,P. Arnold; G. D. Moore; L. G. Yaffe,Transport coefficients in high temperature gauge theories: beyond leading log,2003,arXiv:hep-ph/0302165,Full collision-integral normalisation,project bibliography
