source_id,short,title,authors,year,kind,persistent_id,url,version,supports
SRC-PLANCK-2018,Planck 2018,Planck 2018 results VI: Cosmological parameters,Planck Collaboration,2020,primary observation and likelihood analysis,doi:10.1051/0004-6361/201833910; arXiv:1807.06209,https://arxiv.org/abs/1807.06209,v4,"six-parameter flat LambdaCDM fit; H0, Omega_m, Omega_b, Omega_c, n_s, neutrino bounds"
SRC-DESI-DR2-2025,DESI DR2,DESI DR2 Results II: Measurements of BAO and Cosmological Constraints,DESI Collaboration,2025,primary observation and likelihood analysis,arXiv:2503.14738,https://arxiv.org/abs/2503.14738,v3,BAO from >14 million tracers; flat LambdaCDM fit and model/dataset-dependent dynamical-dark-energy preference
SRC-BICEP-2021,BICEP/Keck BK18,BICEP/Keck XIII: Improved Constraints on Primordial Gravitational Waves,BICEP/Keck Collaboration,2021,primary observation,doi:10.1103/PhysRevLett.127.151301; arXiv:2110.00483,https://arxiv.org/abs/2110.00483,v1,r_0.05 < 0.036 at 95% confidence
SRC-LZ-2024,LZ 4.2 t yr,Dark Matter Search Results from 4.2 Tonne-Years of Exposure of the LUX-ZEPLIN Experiment,J. Aalbers et al. (LZ Collaboration),2024,primary experiment,arXiv:2410.17036,https://arxiv.org/abs/2410.17036,v1,no WIMP excess; spin-independent limit 2.1 x 10^-48 cm^2 at 36 GeV/c^2
SRC-RIESS-2022,SH0ES,A Comprehensive Measurement of the Local Value of the Hubble Constant,A. G. Riess et al.,2022,primary observation and distance-ladder analysis,arXiv:2112.04510,https://arxiv.org/abs/2112.04510,v2,H0 = 73.04 +/- 1.04 km/s/Mpc baseline local result
SRC-GOROFF-SAGNOTTI-1986,Goroff-Sagnotti,The ultraviolet behavior of Einstein gravity,M. H. Goroff and A. Sagnotti,1986,original theoretical result,doi:10.1016/0550-3213(86)90193-8,https://doi.org/10.1016/0550-3213(86)90193-8,published,nonzero two-loop on-shell divergence of pure Einstein gravity
SRC-DONOGHUE-1994,Gravity EFT,General relativity as an effective field theory: The leading quantum corrections,J. F. Donoghue,1994,original EFT formulation,doi:10.1103/PhysRevD.50.3874; arXiv:gr-qc/9405057,https://arxiv.org/abs/gr-qc/9405057,v1,GR is a predictive quantum EFT at ordinary energies despite UV incompleteness
SRC-HAWKING-PENROSE-1970,Hawking-Penrose,The singularities of gravitational collapse and cosmology,S. W. Hawking and R. Penrose,1970,original theorem,doi:10.1098/rspa.1970.0021,https://doi.org/10.1098/rspa.1970.0021,published,geodesic incompleteness under stated causal and energy/focusing assumptions
SRC-WEINBERG-CC-1989,Cosmological constant problem,The cosmological constant problem,S. Weinberg,1989,authoritative review,doi:10.1103/RevModPhys.61.1,https://doi.org/10.1103/RevModPhys.61.1,published,radiative and naturalness aspects of vacuum energy
SRC-WITTEN-1982,Witten SU(2) anomaly,An SU(2) anomaly,E. Witten,1982,original theorem,doi:10.1016/0370-2693(82)90728-6,https://doi.org/10.1016/0370-2693(82)90728-6,published,odd number of left-handed SU(2) doublets gives a global gauge anomaly
SRC-TONG-2017,SM line operators,Line Operators in the Standard Model,D. Tong,2017,theoretical analysis,arXiv:1705.01853,https://arxiv.org/abs/1705.01853,v2,"global gauge group may involve Gamma = 1, Z2, Z3 or Z6"
SRC-HSIN-2024,Global SM gauge group test,Detecting Standard Model Gauge Group from Generalized Fractional Quantum Hall Effect,Po-Shen Hsin and Jaume Gomis,2024,theoretical proposal,arXiv:2411.18160,https://arxiv.org/abs/2411.18160,v1; arXiv record accessed 2026-08-27,global Standard Model gauge-group alternatives and an observable distinguishing framework
SRC-NEDM-2020,Neutron EDM,Measurement of the permanent electric dipole moment of the neutron,C. Abel et al.,2020,primary experiment,doi:10.1103/PhysRevLett.124.081803; arXiv:2001.11966,https://arxiv.org/abs/2001.11966,v2,|d_n| < 1.8 x 10^-26 e cm at 90% confidence and strong-CP constraint
SRC-SAKHAROV-1967,Sakharov conditions,"Violation of CP invariance, C asymmetry, and baryon asymmetry of the universe",A. D. Sakharov,1967,original theoretical criterion,doi:10.1070/PU1991v034n05ABEH002497,https://doi.org/10.1070/PU1991v034n05ABEH002497,1991 English reprint of 1967 paper,"baryon violation, C/CP violation and departure from equilibrium as standard baryogenesis conditions"
SRC-SPHALERON-2012,SM sphaleron crossover,The sphaleron rate at the electroweak crossover with 125 GeV Higgs mass,"M. D'Onofrio, K. Rummukainen and A. Tranberg",2012,nonperturbative lattice calculation,arXiv:1212.3206,https://arxiv.org/abs/1212.3206,v1,SM electroweak crossover and baryon-number violation rate at physical Higgs mass
SRC-WEINBERG-OP-1979,Weinberg operator,Baryon- and Lepton-Nonconserving Processes,S. Weinberg,1979,original EFT operator result,doi:10.1103/PhysRevLett.43.1566,https://doi.org/10.1103/PhysRevLett.43.1566,published,unique dimension-five SM operator generating Majorana neutrino masses
SRC-SMEFT-2010,Warsaw SMEFT basis,Dimension-Six Terms in the Standard Model Lagrangian,"B. Grzadkowski, M. Iskrzynski, M. Misiak and J. Rosiek",2010,operator-basis construction,doi:10.1007/JHEP10(2010)085; arXiv:1008.4884,https://arxiv.org/abs/1008.4884,v3,independent baryon-number-conserving dimension-six SMEFT operator basis
SRC-WILL-2014,Confrontation with GR,The Confrontation between General Relativity and Experiment,C. M. Will,2014,authoritative review,doi:10.12942/lrr-2014-4; arXiv:1403.7377,https://arxiv.org/abs/1403.7377,v2,"PPN, solar-system, equivalence and binary tests"
SRC-PQ-1977,Peccei-Quinn,CP Conservation in the Presence of Instantons,R. D. Peccei and H. R. Quinn,1977,original mechanism,doi:10.1103/PhysRevLett.38.1440,https://doi.org/10.1103/PhysRevLett.38.1440,published,dynamical strong-CP solution class
SRC-BULLET-2006,Bullet Cluster,A Direct Empirical Proof of the Existence of Dark Matter,D. Clowe et al.,2006,primary observation and inference,doi:10.1086/508162; arXiv:astro-ph/0608407,https://arxiv.org/abs/astro-ph/0608407,v1,separation of lensing-inferred mass and baryonic plasma in a merging cluster; one line of dark-matter evidence
SRC-VACUUM-STABILITY-2024,Hiller et al. vacuum stability,Vacuum Stability in the Standard Model and Beyond,"Gudrun Hiller, Tim Höhne, Daniel F. Litim, and Tom Steudtner",2024,reviewed theoretical status,doi:10.1103/PhysRevD.110.115017; arXiv:2401.08811,https://arxiv.org/abs/2401.08811v4,"v4 (2026-03-05); Phys. Rev. D 110, 115017 (2024)",vacuum-stability dependence on top-mass and strong-coupling inputs; high-scale extrapolation uncertainty
